service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date,info
508000,1,1,1,1,1,1,1,20260901,20270901,""
508385,0,0,0,0,0,1,0,20260905,20260905,""
508389,0,0,0,0,0,1,0,20260905,20260905,""
465819,0,0,0,0,1,1,0,20250901,20270901,""
465824,0,0,0,0,1,1,0,20250901,20270901,""
496593,0,0,0,0,1,1,0,20260605,20270901,""
508398,0,0,0,0,0,1,0,20260905,20260905,""
508409,0,0,0,0,1,1,0,20260904,20270901,""
466527,0,0,0,0,1,1,0,20250901,20260903,""
508387,0,0,0,0,0,1,0,20260905,20260905,""
507997,0,0,0,0,1,1,0,20260901,20270901,""
503709,0,0,0,0,1,1,0,20260731,20270901,""
508392,0,0,0,0,0,1,0,20260905,20260905,""
496359,0,0,0,0,1,1,0,20260603,20270901,""
508391,0,0,0,0,0,1,0,20260905,20260905,""
501742,0,0,0,0,1,1,0,20260714,20270901,""
488816,1,1,1,1,0,0,1,20260323,20270901,""
477032,0,0,0,0,1,1,0,20251205,20270901,""
507434,1,1,1,1,1,0,0,20260901,20270901,""
507435,0,0,0,0,0,1,1,20260901,20270901,""
508394,0,0,0,0,0,1,1,20260905,20260906,""
508125,1,1,1,1,1,0,0,20260901,20270901,""
508126,0,0,0,0,0,1,1,20260901,20270901,""
508254,0,0,0,0,0,0,1,20260906,20260906,""
507797,0,0,0,0,0,1,1,20260901,20270901,"1 var."
507796,1,1,1,1,1,0,0,20260901,20270901,"2 var."
507800,1,1,1,1,1,0,0,20260901,20270901,"2 var."
507884,1,1,1,1,1,0,0,20260901,20270901,"1 var."
507885,0,0,0,0,0,1,0,20260901,20270901,"1 var."
507886,0,0,0,0,0,0,1,20260901,20270901,"1 var."
508255,0,0,0,0,0,0,1,20260906,20260906,""
507798,1,1,1,1,1,0,0,20260901,20270901,"1 var."
507799,0,0,0,0,0,1,1,20260901,20270901,"1 var."
508395,0,0,0,0,0,1,1,20260905,20260906,""
507887,1,1,1,1,1,0,0,20260901,20270901,""
507888,0,0,0,0,0,1,1,20260901,20270901,""
508396,0,0,0,0,0,1,1,20260905,20260906,""
507790,1,1,1,1,1,0,0,20260901,20270901,"1 var."
507791,0,0,0,0,0,1,1,20260901,20270901,"2 var."
508256,0,0,0,0,0,0,1,20260906,20260906,""
507801,0,0,0,0,0,1,1,20260901,20270901,"1 var."
508393,0,0,0,0,0,1,1,20260905,20260906,""
