route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible,direction_name,bikes_allowed
vilnius_nightbus_N2,496593,AN2-03-5-260605-ba-2550,"Centras",1,AN2-03-5-260605-2665689,vilnius_nightbus_N2_b-a,1,"Pilaitė–Lazdynai–Karoliniškės–Centras",0
vilnius_nightbus_N2,496593,AN2-01-5-260605-ba-2620,"Centras",1,AN2-01-5-260605-2665687,vilnius_nightbus_N2_b-a,1,"Pilaitė–Lazdynai–Karoliniškės–Centras",0
vilnius_nightbus_N2,496593,AN2-02-5-260605-ba-2650,"Centras",1,AN2-02-5-260605-2665688,vilnius_nightbus_N2_b-a,1,"Pilaitė–Lazdynai–Karoliniškės–Centras",0
vilnius_nightbus_N2,496593,AN2-03-5-260605-ba-2720,"Centras",1,AN2-03-5-260605-2665689,vilnius_nightbus_N2_b-a,1,"Pilaitė–Lazdynai–Karoliniškės–Centras",0
vilnius_nightbus_N2,496593,AN2-01-5-260605-bd-2740,"2-asis troleibusų parkas (Justiniškių g.)",1,AN2-01-5-260605-2665687,vilnius_nightbus_N2_b-d,1,"Pilaitė–2-asis troleibusų parkas (Justiniškių g.)",0
vilnius_nightbus_N2,496593,AN2-02-5-260605-bd-2810,"2-asis troleibusų parkas (Justiniškių g.)",1,AN2-02-5-260605-2665688,vilnius_nightbus_N2_b-d,1,"Pilaitė–2-asis troleibusų parkas (Justiniškių g.)",0
vilnius_nightbus_N2,496593,AN2-03-5-260605-bd-2840,"2-asis troleibusų parkas (Justiniškių g.)",1,AN2-03-5-260605-2665689,vilnius_nightbus_N2_b-d,1,"Pilaitė–2-asis troleibusų parkas (Justiniškių g.)",0
vilnius_nightbus_N2,496593,AN2-01-5-260605-da-2330,"Centras",1,AN2-01-5-260605-2665687,vilnius_nightbus_N2_d-a,1,"2-asis troleibusų parkas (Justiniškių g.)–Karoliniškės–Lazdynai–Centras",0
vilnius_nightbus_N2,496593,AN2-02-5-260605-da-2400,"Centras",1,AN2-02-5-260605-2665688,vilnius_nightbus_N2_d-a,1,"2-asis troleibusų parkas (Justiniškių g.)–Karoliniškės–Lazdynai–Centras",0
vilnius_nightbus_N2,496593,AN2-03-5-260605-da-2430,"Centras",1,AN2-03-5-260605-2665689,vilnius_nightbus_N2_d-a,1,"2-asis troleibusų parkas (Justiniškių g.)–Karoliniškės–Lazdynai–Centras",0
vilnius_nightbus_N3,466527,AN3-01-5-250901-ab-2400,"Santariškės",0,AN3-01-5-250901-2491337,vilnius_nightbus_N3_a-b,1,"Centras–Žirmūnai–Baltupiai–Santariškės",0
vilnius_nightbus_N3,466527,AN3-02-5-250901-ab-2430,"Santariškės",0,AN3-02-5-250901-2491338,vilnius_nightbus_N3_a-b,1,"Centras–Žirmūnai–Baltupiai–Santariškės",0
vilnius_nightbus_N3,466527,AN3-03-5-250901-ab-2500,"Santariškės",0,AN3-03-5-250901-2491339,vilnius_nightbus_N3_a-b,1,"Centras–Žirmūnai–Baltupiai–Santariškės",0
vilnius_nightbus_N3,466527,AN3-01-5-250901-ab-2530,"Santariškės",0,AN3-01-5-250901-2491337,vilnius_nightbus_N3_a-b,1,"Centras–Žirmūnai–Baltupiai–Santariškės",0
vilnius_nightbus_N3,466527,AN3-02-5-250901-ab-2600,"Santariškės",0,AN3-02-5-250901-2491338,vilnius_nightbus_N3_a-b,1,"Centras–Žirmūnai–Baltupiai–Santariškės",0
vilnius_nightbus_N3,466527,AN3-03-5-250901-ab-2630,"Santariškės",0,AN3-03-5-250901-2491339,vilnius_nightbus_N3_a-b,1,"Centras–Žirmūnai–Baltupiai–Santariškės",0
vilnius_nightbus_N3,466527,AN3-01-5-250901-ab-2700,"Santariškės",0,AN3-01-5-250901-2491337,vilnius_nightbus_N3_a-b,1,"Centras–Žirmūnai–Baltupiai–Santariškės",0
vilnius_nightbus_N3,466527,AN3-02-5-250901-ab-2730,"Santariškės",0,AN3-02-5-250901-2491338,vilnius_nightbus_N3_a-b,1,"Centras–Žirmūnai–Baltupiai–Santariškės",0
vilnius_nightbus_N3,466527,AN3-03-5-250901-ab-2800,"Santariškės",0,AN3-03-5-250901-2491339,vilnius_nightbus_N3_a-b,1,"Centras–Žirmūnai–Baltupiai–Santariškės",0
vilnius_nightbus_N3,466527,AN3-01-5-250901-ba-2450,"Centras",1,AN3-01-5-250901-2491337,vilnius_nightbus_N3_b-a,1,"Santariškės–Baltupiai–Žirmūnai–Centras",0
vilnius_nightbus_N3,466527,AN3-02-5-250901-ba-2520,"Centras",1,AN3-02-5-250901-2491338,vilnius_nightbus_N3_b-a,1,"Santariškės–Baltupiai–Žirmūnai–Centras",0
vilnius_nightbus_N3,466527,AN3-03-5-250901-ba-2550,"Centras",1,AN3-03-5-250901-2491339,vilnius_nightbus_N3_b-a,1,"Santariškės–Baltupiai–Žirmūnai–Centras",0
vilnius_nightbus_N3,466527,AN3-01-5-250901-ba-2620,"Centras",1,AN3-01-5-250901-2491337,vilnius_nightbus_N3_b-a,1,"Santariškės–Baltupiai–Žirmūnai–Centras",0
vilnius_nightbus_N3,466527,AN3-02-5-250901-ba-2650,"Centras",1,AN3-02-5-250901-2491338,vilnius_nightbus_N3_b-a,1,"Santariškės–Baltupiai–Žirmūnai–Centras",0
vilnius_nightbus_N3,466527,AN3-03-5-250901-ba-2720,"Centras",1,AN3-03-5-250901-2491339,vilnius_nightbus_N3_b-a,1,"Santariškės–Baltupiai–Žirmūnai–Centras",0
vilnius_nightbus_N3,466527,AN3-01-5-250901-bd-2740,"Autobusų parkas (Verkių g.)",1,AN3-01-5-250901-2491337,vilnius_nightbus_N3_b-d,1,"Santariškės–Žvalgų g.–Autobusų parkas (Verkių g.)",0
vilnius_nightbus_N3,466527,AN3-02-5-250901-bd-2810,"Autobusų parkas (Verkių g.)",1,AN3-02-5-250901-2491338,vilnius_nightbus_N3_b-d,1,"Santariškės–Žvalgų g.–Autobusų parkas (Verkių g.)",0
vilnius_nightbus_N3,466527,AN3-03-5-250901-bd-2840,"Autobusų parkas (Verkių g.)",1,AN3-03-5-250901-2491339,vilnius_nightbus_N3_b-d,1,"Santariškės–Žvalgų g.–Autobusų parkas (Verkių g.)",0
vilnius_nightbus_N3,466527,AN3-01-5-250901-da-2340,"Centras",1,AN3-01-5-250901-2491337,vilnius_nightbus_N3_d-a,1,"Autobusų parkas (Verkių g.)–Žirmūnai–Centras",0
vilnius_nightbus_N3,466527,AN3-02-5-250901-da-2410,"Centras",1,AN3-02-5-250901-2491338,vilnius_nightbus_N3_d-a,1,"Autobusų parkas (Verkių g.)–Žirmūnai–Centras",0
vilnius_nightbus_N3,466527,AN3-03-5-250901-da-2440,"Centras",1,AN3-03-5-250901-2491339,vilnius_nightbus_N3_d-a,1,"Autobusų parkas (Verkių g.)–Žirmūnai–Centras",0
vilnius_nightbus_N4,496358,AN4-01-5-260603-a1b1-2400,"Gabijos progimnazija",0,AN4-01-5-260603-2664196,vilnius_nightbus_N4_a1-b1,1,"Centras–Kalvarijų–S. Stanevičiaus g.–Gabijos progimnazija",0
vilnius_nightbus_N4,496358,AN4-02-5-260603-a1b1-2430,"Gabijos progimnazija",0,AN4-02-5-260603-2664197,vilnius_nightbus_N4_a1-b1,1,"Centras–Kalvarijų–S. Stanevičiaus g.–Gabijos progimnazija",0
vilnius_nightbus_N4,496358,AN4-03-5-260603-a1b1-2500,"Gabijos progimnazija",0,AN4-03-5-260603-2664198,vilnius_nightbus_N4_a1-b1,1,"Centras–Kalvarijų–S. Stanevičiaus g.–Gabijos progimnazija",0
vilnius_nightbus_N4,496358,AN4-01-5-260603-a1b1-2530,"Gabijos progimnazija",0,AN4-01-5-260603-2664196,vilnius_nightbus_N4_a1-b1,1,"Centras–Kalvarijų–S. Stanevičiaus g.–Gabijos progimnazija",0
vilnius_nightbus_N4,496358,AN4-02-5-260603-a1b1-2600,"Gabijos progimnazija",0,AN4-02-5-260603-2664197,vilnius_nightbus_N4_a1-b1,1,"Centras–Kalvarijų–S. Stanevičiaus g.–Gabijos progimnazija",0
vilnius_nightbus_N4,496358,AN4-03-5-260603-a1b1-2630,"Gabijos progimnazija",0,AN4-03-5-260603-2664198,vilnius_nightbus_N4_a1-b1,1,"Centras–Kalvarijų–S. Stanevičiaus g.–Gabijos progimnazija",0
vilnius_nightbus_N4,496358,AN4-01-5-260603-a1b1-2700,"Gabijos progimnazija",0,AN4-01-5-260603-2664196,vilnius_nightbus_N4_a1-b1,1,"Centras–Kalvarijų–S. Stanevičiaus g.–Gabijos progimnazija",0
vilnius_nightbus_N4,496358,AN4-02-5-260603-a1b1-2730,"Gabijos progimnazija",0,AN4-02-5-260603-2664197,vilnius_nightbus_N4_a1-b1,1,"Centras–Kalvarijų–S. Stanevičiaus g.–Gabijos progimnazija",0
vilnius_nightbus_N4,496358,AN4-03-5-260603-a1b1-2800,"Gabijos progimnazija",0,AN4-03-5-260603-2664198,vilnius_nightbus_N4_a1-b1,1,"Centras–Kalvarijų–S. Stanevičiaus g.–Gabijos progimnazija",0
vilnius_nightbus_N4,496358,AN4-01-5-260603-b1a1-2450,"Centras",1,AN4-01-5-260603-2664196,vilnius_nightbus_N4_b1-a1,1,"Gabijos progimnazija–S. Stanevičiaus–Kalvarijų g.–Centras",0
vilnius_nightbus_N4,496358,AN4-02-5-260603-b1a1-2520,"Centras",1,AN4-02-5-260603-2664197,vilnius_nightbus_N4_b1-a1,1,"Gabijos progimnazija–S. Stanevičiaus–Kalvarijų g.–Centras",0
vilnius_nightbus_N4,496358,AN4-03-5-260603-b1a1-2550,"Centras",1,AN4-03-5-260603-2664198,vilnius_nightbus_N4_b1-a1,1,"Gabijos progimnazija–S. Stanevičiaus–Kalvarijų g.–Centras",0
vilnius_nightbus_N4,496358,AN4-01-5-260603-b1a1-2620,"Centras",1,AN4-01-5-260603-2664196,vilnius_nightbus_N4_b1-a1,1,"Gabijos progimnazija–S. Stanevičiaus–Kalvarijų g.–Centras",0
vilnius_nightbus_N4,496358,AN4-02-5-260603-b1a1-2650,"Centras",1,AN4-02-5-260603-2664197,vilnius_nightbus_N4_b1-a1,1,"Gabijos progimnazija–S. Stanevičiaus–Kalvarijų g.–Centras",0
vilnius_nightbus_N4,496358,AN4-03-5-260603-b1a1-2720,"Centras",1,AN4-03-5-260603-2664198,vilnius_nightbus_N4_b1-a1,1,"Gabijos progimnazija–S. Stanevičiaus–Kalvarijų g.–Centras",0
vilnius_nightbus_N4,496358,AN4-01-5-260603-bd-2740,"Autobusų parkas (Verkių g.)",1,AN4-01-5-260603-2664196,vilnius_nightbus_N4_b-d,1,"Gabijos progimnazija–S. Stanevičiaus g.–Autobusų parkas (Verkių g.)",0
vilnius_nightbus_N4,496358,AN4-02-5-260603-bd-2810,"Autobusų parkas (Verkių g.)",1,AN4-02-5-260603-2664197,vilnius_nightbus_N4_b-d,1,"Gabijos progimnazija–S. Stanevičiaus g.–Autobusų parkas (Verkių g.)",0
vilnius_nightbus_N4,496358,AN4-03-5-260603-bd-2840,"Autobusų parkas (Verkių g.)",1,AN4-03-5-260603-2664198,vilnius_nightbus_N4_b-d,1,"Gabijos progimnazija–S. Stanevičiaus g.–Autobusų parkas (Verkių g.)",0
vilnius_nightbus_N4,496358,AN4-01-5-260603-d1a-2330,"Centras",1,AN4-01-5-260603-2664196,vilnius_nightbus_N4_d1-a,1,"Autobusų parkas (Verkių g.)–Kalvarijų g.–Centras",0
vilnius_nightbus_N4,496358,AN4-02-5-260603-d1a-2400,"Centras",1,AN4-02-5-260603-2664197,vilnius_nightbus_N4_d1-a,1,"Autobusų parkas (Verkių g.)–Kalvarijų g.–Centras",0
vilnius_nightbus_N4,496358,AN4-03-5-260603-d1a-2430,"Centras",1,AN4-03-5-260603-2664198,vilnius_nightbus_N4_d1-a,1,"Autobusų parkas (Verkių g.)–Kalvarijų g.–Centras",0
vilnius_nightbus_N5,503709,AN5-01-5-260731-ab-2400,"Naujoji Vilnia (Apylanka)",0,AN5-01-5-260731-2702913,vilnius_nightbus_N5_a-b,1,"Centras–Markučiai–Pavilnys–Naujoji Vilnia (Apylanka)",0
vilnius_nightbus_N5,503709,AN5-02-5-260731-ab-2430,"Naujoji Vilnia (Apylanka)",0,AN5-02-5-260731-2702914,vilnius_nightbus_N5_a-b,1,"Centras–Markučiai–Pavilnys–Naujoji Vilnia (Apylanka)",0
vilnius_nightbus_N5,503709,AN5-03-5-260731-ab-2500,"Naujoji Vilnia (Apylanka)",0,AN5-03-5-260731-2702915,vilnius_nightbus_N5_a-b,1,"Centras–Markučiai–Pavilnys–Naujoji Vilnia (Apylanka)",0
vilnius_nightbus_N5,503709,AN5-01-5-260731-ab-2530,"Naujoji Vilnia (Apylanka)",0,AN5-01-5-260731-2702913,vilnius_nightbus_N5_a-b,1,"Centras–Markučiai–Pavilnys–Naujoji Vilnia (Apylanka)",0
vilnius_nightbus_N5,503709,AN5-02-5-260731-ab-2600,"Naujoji Vilnia (Apylanka)",0,AN5-02-5-260731-2702914,vilnius_nightbus_N5_a-b,1,"Centras–Markučiai–Pavilnys–Naujoji Vilnia (Apylanka)",0
vilnius_nightbus_N5,503709,AN5-03-5-260731-ab-2630,"Naujoji Vilnia (Apylanka)",0,AN5-03-5-260731-2702915,vilnius_nightbus_N5_a-b,1,"Centras–Markučiai–Pavilnys–Naujoji Vilnia (Apylanka)",0
vilnius_nightbus_N5,503709,AN5-01-5-260731-ab-2700,"Naujoji Vilnia (Apylanka)",0,AN5-01-5-260731-2702913,vilnius_nightbus_N5_a-b,1,"Centras–Markučiai–Pavilnys–Naujoji Vilnia (Apylanka)",0
